Pa, Pb, Pc
0.0247548562986905,0.191967258153745,0.23717572258912
0.0198188758411226,0.176685428750708,0.237541129156388
0.270373328332725,0.168736010760861,0.442356479606728
0.0157380126112815,0.179795034118734,0.260540970829503
0.0327330081410232,0.185010782711651,0.218982321433654
0.0196881256072899,0.181172020150948,0.143680654832988
0.26506774166876,0.179728643320955,0.375779632132288
0.0337711489755854,0.17202728530965,0.186932698676353
0.0373624642372409,0.169945388626356,0.198135541030502
0.0257261617037261,0.212161199043784,0.195618220731731
0.214205613378926,0.173628150247306,0.344619857141187
0.109896640950638,0.18880362549729,0.239703254270623
0.0463540662509344,0.182786422980447,0.182086060930251
0.0246242620314701,0.207909337965779,0.170119872119241
0.196410764356988,0.197479420272775,0.28123580789065
0.179080373971216,0.164094472168367,0.286350047380557
0.0514987257094592,0.155922335753161,0.21267412505209
0.0427978075977838,0.224304142845487,0.213946648113035
0.0420073741590728,0.157996875408807,0.198683939592013
0.298581509799512,0.170032374908579,0.382757018573481
0.0427547077128228,0.182359523176712,0.216885158147184
0.0279076663561564,0.184492957117096,0.248339610714827
0.0185155114842114,0.17539585624126,0.290864365940586
0.108455458535786,0.182521622304106,0.304008142595545
0.230158011654093,0.170537077504711,0.383221232297945
0.0254877790688046,0.154916529982837,0.239951808634956
0.0256288497751161,0.159745236178124,0.231486427845512
0.0219925033256871,0.173156879220482,0.20094026648102
0.199706027827928,0.186467253922516,0.312052442608087
0.155643477227735,0.164880462293946,0.281039527999644
0.0189719667279187,0.183626358132453,0.184045279386278
0.0171649991861992,0.182036549200957,0.220530074398733
0.039311063713078,0.174115288049235,0.210113668821004
0.32053930127809,0.162487359186748,0.392772577409792
0.0429850007344851,0.179331349724404,0.213310152336551
0.0589729161523541,0.193813065703333,0.193933681403038
0.0523794962126367,0.160864231958108,0.212846204616779
0.146852328127921,0.179692304827671,0.304327397007625
0.234076351615438,0.16336364911471,0.34318875505527
0.0364146626895222,0.169351821939756,0.175403938198877
0.271600768447958,0.855854205561151,0.656348757885454
0.225634775947819,0.783508308371047,0.478525428095478
0.466956552926265,0.824082581774047,0.73412788650621
0.188425839466553,0.729454039410256,0.443698456404428
0.311076371337677,0.889551305023956,0.543546731277667
1.11819866260405,1.24092338636778,1.27927595374544
2.33200710289139,1.61273045721291,2.12774056083571
2.25098429784356,1.50932889294956,2.0757463446034
2.36970798194447,1.68924314921232,2.08201570274308
2.02112246606014,2.17722789522057,1.93251505740678
2.42691837402083,2.2531723275245,2.21195238016687
2.41782125931152,2.26561408661663,2.03685276800868
2.25605884843264,2.2061960106142,1.89514044802287
2.20368761942817,2.28890101786703,1.87957905156362
2.71783997044788,2.15976492647537,2.35269739837919
2.47257345601319,2.28338421576315,2.21200013765928
2.24645734435759,2.19984617457713,2.0080750532539
2.25881111182545,2.19993976565982,2.04377116252322
2.60455181070515,2.13979557636651,2.24111549254451
2.34563384920448,2.17401143037738,2.08353241812714
2.50592003188409,2.20533789224231,2.21157587882346
2.4482856726711,2.29706059028545,2.16377578093978
2.32553328124973,2.41215272614474,2.18731410434694
2.44840614577773,2.13327197720275,2.31548610561757
2.24274847161713,2.20017020478408,2.12647359713674
2.27860547050319,2.31234272049887,2.13937046092798
2.30888446047807,2.17081991885452,2.09267108170369
2.16886835444892,2.39760181189894,2.09765384022314
2.14785881817046,2.17684895364428,2.05453788890377
1.93202310593973,2.26451685101102,1.81653934390537
1.80875109485418,2.06021533368051,1.82813578508387
2.03965960559522,1.90253859542041,1.87106093305975
1.68383230275463,1.83931008116324,1.60402936017877
1.93532104077863,1.85964148852446,1.81276101931226
2.06650955938191,1.75340750462876,1.79458908775558
2.2609826262115,2.03860672918221,2.1044724510255
1.99779003417232,1.94898349462477,1.6970459504272
2.109982838253,2.0499315894523,1.78219497556254
1.83914830205355,2.21940043119289,1.65196780707444
2.18592087685984,2.20761295451168,1.83831812705654
2.1173959110138,2.40560375898183,2.01477878320099
2.04067685682363,2.33739255120206,1.98610196596256
1.85037496105264,2.42009956016489,1.86403883867537
2.20794364765887,2.37393196131134,2.0411298780017
2.21811443005824,2.33316084010473,1.98036301065874
2.16989105101674,2.24784678082487,1.98319131147719
2.16153844116671,2.31749731225295,1.97929609385961
2.20240797732349,2.30139926492464,2.04061574697985
2.43377888229988,2.12575282494525,2.18762716600488
2.1508799897449,2.04084409832697,1.9413430984435
2.35408191962268,2.18292451745376,2.16966719485882
2.14638774590265,2.25415679045529,1.99680895469933
2.10486007310589,2.15467362339915,2.00631936455992
2.30179704702368,2.25759280368472,2.12564999390728
2.07367262083371,2.1441036973537,1.93333387754933
1.92155733291707,2.20707743810944,1.85841933283688
1.84144669715157,1.95711336805502,1.69115860711807
1.80493971730514,1.53830820920813,1.52694459056743
1.62120989249936,1.30214168291627,1.34689635218639
1.71603001892754,1.11262915920881,1.38226964208232
1.87094512940782,1.00952490014634,1.47362681424258
1.95453993855235,0.811245469693824,1.45830419975213
1.59052194653633,0.628179241578513,1.2872931287485
1.57436774620441,0.641372420459556,1.21623230224279
1.11950061318898,0.654510781432791,0.897978455960812
0.969762822511489,0.523096056044222,0.743655235476437
0.464837286993244,0.401023304615521,0.403711273610979
0.273855494065927,0.554492936112418,0.432713987624434
0.237740112264817,0.606593557839188,0.397748421271611
0.52750988608535,0.263666063281119,0.471954618426907
0.288357119248817,0.22289592493063,0.34840021093276
0.273246831897129,0.22259697307749,0.342235647842241
0.224748444780868,0.349133729131643,0.385681993941817
0.251030239661032,0.217808429103939,0.433174267465557
0.397440410984724,0.201815099303667,0.528481264195505
0.11569269592611,0.283051988503101,0.306093002350065
0.23189111300405,0.284224065141224,0.376606547832831
0.10473346161328,0.20000357284295,0.319671071601542
0.30593036749884,0.204591859345153,0.450555809989739
0.124984658811346,0.273164567511803,0.300466608223758
0.0122402417204838,0.282674808196435,0.141007805311906
0.00503315879111666,0.158437026175499,0.16505100298274
0.214137616336573,0.138418481685733,0.327224111529677
0.179451637326701,0.134510057610051,0.282158435442206
0.023010930321164,0.292644046918961,0.188613644043837
0.0233730451695392,0.21747280917223,0.200404362297277
0.0205158973219118,0.139194234975931,0.266522577134807
0.301014550088254,0.154434292700317,0.440876541089999
0.0226031297335069,0.259000662644598,0.196565302075313
0.00409345845085544,0.193112014078086,0.219947014901294
0.0131906765401294,0.132423068788696,0.226265961495878
0.159374770243825,0.1380288219085,0.311344025940635
0.183177697814434,0.212359196570528,0.321400524493963
0.0419215359982134,0.260180508624292,0.199821931457362
0.0288259915919917,0.23537295539204,0.234643634204632
0.0174903855293808,0.135077973923168,0.227119722367562
0.179580055777665,0.147902049266043,0.354301960911011
0.214834190658066,0.145872621721876,0.389781294157273
